"id";"codigo_plantilla_checklist";"descripcion_plantilla_checklist";"ressi_plantilla_checklist";"resno_plantilla_checklist";"resna_plantilla_checklist";"audsi_plantilla_checklist";"audno_plantilla_checklist";"audna_plantilla_checklist";"filtro_checklist";"updated_at";"_method";"_token";"created_at"
"1";"DEV1";"CARATULA";"0";"0";"0";"0";"0";"0";"DIVA";NULL;NULL;NULL;NULL
"2";"DEV2";"FORMATO 010 SOLICITUD DE DEVOLUCION Y/O COMPENSACION";"0";"0";"0";"0";"0";"0";"DIVA";NULL;NULL;NULL;NULL
"3";"DEV3";"CAMARA DE COMERCION ACTUALIZADA";"0";"0";"0";"0";"0";"0";"DIVA";NULL;NULL;NULL;NULL
"4";"DEV4";"RUT DE LA COMPAŃÍA";"0";"0";"0";"0";"0";"0";"DIVA";NULL;NULL;NULL;NULL
"5";"DEV5";"CEDULA  REPRESENTANTE LEGAL";"0";"0";"0";"0";"0";"0";"DIVA";NULL;NULL;NULL;NULL
"6";"DEV6";"TARJETA PROFESIONAL Y ANTECEDENTES DICIPLINARIOS CONTADOR O REVISOR FISCAL";"0";"0";"0";"0";"0";"0";"DIVA";NULL;NULL;NULL;NULL
"7";"DEV7";"PODER ELEVADO A ESCRITUTA PUBLICA";"0";"0";"0";"0";"0";"0";"DIVA";NULL;NULL;NULL;NULL
"8";"DEV8";"FORMATO 1391 INFORMACION DEL PODER";"0";"0";"0";"0";"0";"0";"DIVA";NULL;NULL;NULL;NULL
"9";"DEV9";"CEDULA Y RUT DE APODERADO";"0";"0";"0";"0";"0";"0";"DIVA";NULL;NULL;NULL;NULL
"10";"DEV10";"CERTIFICACION BANCARIA ACTUALIZADA";"0";"0";"0";"0";"0";"0";"DIVA";NULL;NULL;NULL;NULL
"11";"DEV11";"FORMULARIO 1668 CUENTA BANCARIA";"0";"0";"0";"0";"0";"0";"DIVA";NULL;NULL;NULL;NULL
"12";"DEV12";"DECLARACIONES DE IVA DE LA SOLICITUD DE DEVOLUCION";"0";"0";"0";"0";"0";"0";"DIVA";NULL;NULL;NULL;NULL
"13";"DEV13";"DECLACIONES DE IVA CORREGIDA  DE LA SOLICITUD DE DEVOLUCION";"0";"0";"0";"0";"0";"0";"DIVA";NULL;NULL;NULL;NULL
"14";"DEV14";"COMPARACION IVA GENERADO DEECLARACION IVA Y AUXLIAR 2408 IVA GENERADO";"0";"0";"0";"0";"0";"0";"DIVA";NULL;NULL;NULL;NULL
